"2024-01-24 23:10:33,Los Angeles,28\u00baC" 
"2024-01-24 23:10:35,New York,28\u00baC" 
"2024-01-24 23:10:36,Chicago,25\u00baC" 
"2024-01-24 23:10:37,Los Angeles,24\u00baC" 
"2024-01-24 23:10:38,New York,25\u00baC" 
"2024-01-24 23:10:39,New York,31\u00baC" 
"2024-01-24 23:10:40,New York,24\u00baC" 
"2024-01-24 23:10:41,Los Angeles,31\u00baC" 
"2024-01-24 23:10:42,Los Angeles,23\u00baC" 
"2024-01-24 23:10:43,New York,29\u00baC" 
"2024-01-24 23:12:03,Los Angeles,30\u00baC" 
"2024-01-24 23:12:04,Los Angeles,31\u00baC" 
"2024-01-24 23:12:05,Los Angeles,27\u00baC" 
"2024-01-24 23:12:06,Los Angeles,20\u00baC" 
"2024-01-24 23:12:07,Chicago,29\u00baC" 
"2024-01-24 23:12:08,Los Angeles,25\u00baC" 
"2024-01-24 23:12:09,New York,27\u00baC" 
"2024-01-24 23:12:10,Los Angeles,25\u00baC" 
"2024-01-24 23:12:11,Los Angeles,31\u00baC" 
"2024-01-24 23:12:12,Los Angeles,20\u00baC" 
"2024-01-25 07:56:37,New York,32\u00baC" 
"2024-01-25 07:56:38,Santiago,18\u00baC" 
"2024-01-25 07:56:39,Santiago,18\u00baC" 
"2024-01-25 07:56:40,Pittsburgh,22\u00baC" 
"2024-01-25 07:56:41,New York,26\u00baC" 
"2024-01-25 07:56:42,Santiago,18\u00baC" 
"2024-01-25 07:56:43,New York,29\u00baC" 
"2024-01-25 07:56:44,Santiago,27\u00baC" 
"2024-01-25 07:56:45,New York,31\u00baC" 
"2024-01-25 07:56:46,Pittsburgh,25\u00baC" 
"2024-01-25 08:06:10,Pittsburgh,26\u00baC" 
"2024-01-25 08:06:11,Pittsburgh,22\u00baC" 
"2024-01-25 08:06:12,Santiago,20\u00baC" 
"2024-01-25 08:06:13,Pittsburgh,21\u00baC" 
"2024-01-25 08:06:14,Santiago,28\u00baC" 
"2024-01-25 08:06:15,Pittsburgh,27\u00baC" 
"2024-01-25 08:06:16,Pittsburgh,32\u00baC" 
"2024-01-25 08:06:17,New York,23\u00baC" 
"2024-01-25 08:06:18,Pittsburgh,22\u00baC" 
"2024-01-25 08:06:19,Pittsburgh,23\u00baC" 
"2024-01-25 08:18:40,New York,29\u00baC" 
"2024-01-25 08:18:41,New York,21\u00baC" 
"2024-01-25 08:18:42,Pittsburgh,26\u00baC" 
"2024-01-25 08:18:43,New York,24\u00baC" 
"2024-01-25 08:18:44,Pittsburgh,21\u00baC" 
"2024-01-25 08:18:45,Santiago,28\u00baC" 
"2024-01-25 08:18:46,New York,28\u00baC" 
